net,length_um
delay_line\[13\]\[15\],754.105
_17257_,751.14
clknet_4_11__leaf_clk,742.52
clknet_4_5__leaf_clk,738.26
clknet_4_2__leaf_clk,728.76
clknet_2_2_0_clk,714.3
clknet_2_1_0_clk,688.66
clknet_4_6__leaf_clk,677.7
clknet_2_0_0_clk,676.41
clknet_4_15__leaf_clk,647.74
clknet_4_12__leaf_clk,638.74
clknet_2_3_0_clk,636.06
clknet_4_9__leaf_clk,621.55
clknet_4_4__leaf_clk,607.5
net395,603.315
clknet_4_10__leaf_clk,582.32
clknet_4_0__leaf_clk,574.02
clknet_4_14__leaf_clk,571.02
clknet_4_13__leaf_clk,563.68
_14491_,558.66
_14341_,557.14
_22468_,555.61
clknet_4_8__leaf_clk,552.02
_16419_,549.45
_22424_,536.38
_17049_,535.55
clknet_0_clk,528.02
net74,525.51
_11199_,524.89
_14489_,523.81
_12297_,523.11
_22270_,517.25
_15760_,517.04
_12389_,516.23
clknet_4_1__leaf_clk,514.34
delay_line\[23\]\[11\],493.5
_16776_,491.26
net78,490.46
_13701_,482.84
_08760_,479.93
_13700_,479.63
_17054_,477.855
_14498_,475.97
_06656_,472.36
_24413_,471.21
_12385_,469.57
_17052_,468.62
_12494_,465.32
_17044_,464.7
_17755_,464
_10120_,457.86
_06645_,457.78
_07202_,456.54
_17759_,452.54
net87,452.26
_10304_,448.74
clknet_4_3__leaf_clk,446.51
net68,443.26
_11193_,440.83
_11195_,440.71
_17750_,436.48
_08397_,436.06
_16782_,435.71
net37,434.58
clk,432.5
net76,428.67
clknet_4_7__leaf_clk,424.84
net65,423.44
net64,423.22
_09999_,420.07
_11320_,418.16
_16758_,417.74
_17753_,412.38
net38,411.1
net72,409.79
net40,407.94
delay_line\[4\]\[6\],404.25
_17043_,404.03
_08396_,403.52
_05725_,402.99
_17045_,400.83
_08772_,398.14
_17262_,398.04
_17261_,395.6
net35,395.58
_00016_,393.895
_05729_,393.42
_24116_,390.57
_08771_,390
_01315_,387.36
net242,387.25
_22237_,386.48
delay_line\[4\]\[12\],383.5
delay_line\[4\]\[8\],381.43
_01908_,380.48
net41,379.82
_24160_,378.6
_09997_,378.48
_14527_,378
_00015_,377.545
_07469_,376.82
_23742_,376.29
net42,373.54
_19321_,372.18
_06194_,371.58
_01919_,370.77
net34,370.66
net43,369.94
_07272_,368.55
_15803_,367.68
_22303_,366.02
_24149_,362.38
delay_line\[4\]\[11\],361.52
net36,360.12
delay_line\[23\]\[6\],357.79
_05458_,357.46
_22677_,356.99
net32,356.42
delay_line\[1\]\[15\],351.96
_01688_,349.235
_00535_,349.14
_15068_,348.62
_02786_,348.52
_00010_,348.325
net347,347.505
_00546_,347.2
delay_line\[35\]\[11\],347.16
_00524_,347.04
net302,346.75
_06392_,346.62
_18627_,346.56
delay_line\[35\]\[10\],343.28
_14755_,343.1
_19415_,343.1
_24644_,341.09
_21550_,340.12
_23115_,339.12
_16481_,338.51
net433,337.94
_05487_,337.82
delay_line\[4\]\[7\],336.355
_04448_,336.28
delay_line\[35\]\[2\],335.72
_20579_,334.67
delay_line\[35\]\[7\],333.935
_22380_,333.5
_23513_,332.64
_09228_,332.07
_08215_,331.98
_02397_,331.78
_16941_,331.68
_14812_,331.56
_05585_,331.275
_19727_,331.26
_06906_,331.12
delay_line\[35\]\[12\],331.02
delay_line\[22\]\[13\],330.54
delay_line\[22\]\[15\],329.12
_07069_,328.62
delay_line\[35\]\[1\],328.005
_24655_,327.85
_16930_,326.42
delay_line\[22\]\[11\],326.08
delay_line\[1\]\[14\],325.61
_00011_,325.495
_18462_,324.68
_06403_,323.73
_11588_,323.58
delay_line\[35\]\[6\],323.12
delay_line\[17\]\[0\],322.98
delay_line\[4\]\[9\],321.49
_18438_,321.27
net215,321.14
_18918_,321.08
_16250_,320.72
_04084_,320.56
delay_line\[35\]\[3\],320.53
delay_line\[22\]\[8\],320.28
delay_line\[20\]\[14\],319.95
_00014_,319.925
_18439_,319.52
delay_line\[1\]\[13\],319.51
_19481_,319.14
net432,319.105
net214,318.62
_16239_,318.37
delay_line\[35\]\[15\],317.92
net349,316.945
delay_line\[24\]\[1\],316.63
delay_line\[13\]\[11\],316.56
delay_line\[20\]\[15\],316.5
net139,315.48
_00013_,315.385
_21083_,315.26
_19349_,314.7
_01322_,314.44
delay_line\[17\]\[1\],313.94
delay_line\[35\]\[9\],313.86
_18629_,313.14
_17806_,312.51
_00073_,312.42
_20647_,312.42
_21551_,312.06
delay_line\[22\]\[12\],311.44
delay_line\[13\]\[12\],311.42
_20646_,310.9
_21406_,309.73
_16094_,309.51
_04252_,309.49
_00012_,307.525
delay_line\[22\]\[14\],306.25
_18527_,305.95
_07547_,305.62
_00755_,305.13
_17851_,305.01
_20366_,304.71
_19482_,304.46
net148,304.38
_00480_,304.06
delay_line\[1\]\[8\],303.78
_15394_,303.45
delay_line\[32\]\[4\],303.3
delay_line\[17\]\[7\],303.24
_09012_,302.17
delay_line\[1\]\[7\],301.61
_03732_,301.6
_00009_,299.725
delay_line\[13\]\[13\],299.36
_24850_,298.78
delay_line\[35\]\[8\],298.62
delay_line\[35\]\[4\],297.68
_12721_,297.26
delay_line\[22\]\[0\],297.22
_21805_,296.7
net117,296.26
delay_line\[23\]\[8\],296.24
_14738_,295.4
delay_line\[4\]\[14\],295.36
delay_line\[1\]\[11\],294.54
delay_line\[23\]\[13\],294.24
net77,294.22
delay_line\[1\]\[12\],293.83
delay_line\[17\]\[2\],293.72
delay_line\[35\]\[5\],293.14
net66,292.98
_17090_,292.93
delay_line\[1\]\[9\],292.9
_23907_,292.6
_05589_,292.36
_20443_,292.21
_23481_,292.06
_24852_,291.86
_23012_,291.82
_23300_,291.55
delay_line\[4\]\[10\],291.38
delay_line\[1\]\[10\],290.7
net396,290.595
_16111_,290.04
delay_line\[23\]\[4\],290
_20369_,289.84
delay_line\[1\]\[6\],289.805
_23116_,289.18
_18526_,288.98
_19216_,288.5
_18525_,288.14
_24440_,287.92
delay_line\[17\]\[3\],287.76
_04435_,287.58
_02258_,286.45
_17921_,285.77
delay_line\[17\]\[12\],285.42
net654,285.245
delay_line\[22\]\[10\],284.625
delay_line\[23\]\[9\],284.44
_06095_,283.62
_13857_,283
_21344_,282.67
net82,282.33
_06084_,282.28
delay_line\[22\]\[2\],282.1
_01710_,281.34
delay_line\[4\]\[13\],281.1
delay_line\[4\]\[15\],280.88
_24487_,280.86
_14813_,280.8
_23403_,279.82
delay_line\[22\]\[3\],279.64
_20862_,278.89
_23436_,278.64
_04431_,277.26
_01055_,277.1
_04423_,276.61
_06769_,276.4
_01070_,275.3
_22721_,274.765
_25118_,274.63
delay_line\[22\]\[1\],273.86
_06605_,273.72
_16402_,273.38
_10580_,272.52
_08777_,272.2
_21346_,272.02
_02072_,271.88
delay_line\[17\]\[8\],271.86
delay_line\[24\]\[5\],271.5
delay_line\[17\]\[13\],271.2
_07548_,270.675
delay_line\[5\]\[5\],270.64
net173,270
_01057_,269.18
_01061_,269.03
delay_line\[17\]\[9\],268.91
_06072_,268.6
delay_line\[32\]\[12\],268.46
_09332_,268.18
delay_line\[17\]\[14\],267.72
_00007_,267.435
_10324_,266.92
delay_line\[23\]\[14\],266.5
delay_line\[11\]\[0\],265.96
_18052_,265.85
delay_line\[14\]\[10\],265.79
_25004_,265.45
_21801_,265.38
_09171_,265.24
_16461_,264.86
_23676_,264.04
_23425_,263.72
delay_line\[1\]\[3\],263.14
_13895_,262.8
_24492_,262.02
net33,261.78
delay_line\[23\]\[5\],261.54
_02787_,261.42
delay_line\[17\]\[6\],261.4
_15427_,260.25
delay_line\[17\]\[10\],259.5
_23795_,259.22
_15339_,258.92
delay_line\[22\]\[7\],258.89
_09326_,258.64
delay_line\[22\]\[9\],258.05
_00872_,257.08
delay_line\[22\]\[4\],256.46
delay_line\[17\]\[5\],255.38
_25003_,255.12
_05396_,254.9
_19430_,254.81
_08931_,254.76
_22688_,254.3
net981,252.265
_05399_,252.26
net1147,252.225
_04130_,251.98
_11550_,251.98
_01537_,251.965
delay_line\[5\]\[4\],251.42
net67,251.1
_21653_,250.565
_09721_,250.52
delay_line\[17\]\[11\],250.15
_10569_,249.44
_17599_,249.34
_06770_,249.08
_05988_,247.04
_14660_,246.56
_08280_,246.175
delay_line\[32\]\[7\],246.12
_13896_,245.7
_14853_,245.58
_16463_,245.36
_25001_,245.14
_17196_,245.01
delay_line\[1\]\[5\],244.66
_18986_,244.24
_00108_,243.915
_16519_,243.74
_17916_,243.7
delay_line\[17\]\[15\],243.56
